"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 16:11:16 EST 2024","Thu Mar 07 16:11:17 EST 2024","930","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Tue Mar 12 14:15:22 EDT 2024","Tue Mar 12 14:15:43 EDT 2024","20470","","Topstep Login Functionality (UI)","","An unauthorized user login attempt","","An unauthorized user login attempt",""
"passed","Tue Mar 12 14:15:11 EDT 2024","Tue Mar 12 14:15:12 EDT 2024","915","","User Sign-in Service (API)","","User sign-in negative scenario","","User sign-in negative scenario",""
"passed","Tue Mar 12 14:16:01 EDT 2024","Tue Mar 12 14:16:27 EDT 2024","25556","","Topstep Login Functionality (UI)","","An unauthorized user login attempt","","An unauthorized user login attempt",""
"passed","Sun Mar 10 13:47:13 EDT 2024","Sun Mar 10 13:47:14 EDT 2024","916","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Sun Mar 10 17:18:50 EDT 2024","Sun Mar 10 17:18:51 EDT 2024","564","","User Account Management Services (API)","","Happy path call without any changes","","Happy path call without any changes",""
"passed","Fri Mar 08 16:17:07 EST 2024","Fri Mar 08 16:17:07 EST 2024","405","","User Account Management Services (API)","","Negative case, API call without 'X-Xsrf-Token' header","","Negative case, API call without 'X-Xsrf-Token' header",""
"passed","Sun Mar 10 12:39:12 EDT 2024","Sun Mar 10 12:39:13 EDT 2024","417","","User Account Management Services (API)","","Negative case, API call without 'X-Xsrf-Token' header","","Negative case, API call without 'X-Xsrf-Token' header",""
"passed","Tue Mar 12 14:15:13 EDT 2024","Tue Mar 12 14:15:14 EDT 2024","535","","User Account Management Services (API)","","Sending a PATCH request without modifications","","Sending a PATCH request without modifications",""
"passed","Mon Mar 11 11:51:49 EDT 2024","Mon Mar 11 11:51:50 EDT 2024","219","","User Account Management Services (API)","","Sending a PATCH request with an invalid user_id","","Sending a PATCH request with an invalid user_id",""
"passed","Thu Mar 07 16:11:17 EST 2024","Thu Mar 07 16:11:18 EST 2024","1012","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Tue Mar 12 14:15:14 EDT 2024","Tue Mar 12 14:15:15 EDT 2024","555","","User Account Management Services (API)","","Sending a PATCH request with an invalid user_id","","Sending a PATCH request with an invalid user_id",""
"passed","Thu Mar 07 16:11:13 EST 2024","Thu Mar 07 16:11:15 EST 2024","2289","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Sun Mar 10 13:47:15 EDT 2024","Sun Mar 10 13:47:16 EDT 2024","1028","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Tue Mar 12 14:15:12 EDT 2024","Tue Mar 12 14:15:12 EDT 2024","916","","User Sign-in Service (API)","","User sign-in negative scenario","","User sign-in negative scenario",""
"passed","Tue Mar 12 14:15:43 EDT 2024","Tue Mar 12 14:16:01 EDT 2024","18459","","Topstep Login Functionality (UI)","","An unauthorized user login attempt","","An unauthorized user login attempt",""
"passed","Sun Mar 10 13:47:11 EDT 2024","Sun Mar 10 13:47:13 EDT 2024","2259","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Tue Mar 12 14:15:15 EDT 2024","Tue Mar 12 14:15:22 EDT 2024","7115","","Topstep Login Functionality (UI)","","Authorized user should be able to login","","Authorized user should be able to login",""
"passed","Tue Mar 12 14:15:08 EDT 2024","Tue Mar 12 14:15:11 EDT 2024","2715","","User Sign-in Service (API)","","User sign-in happy path","","User sign-in happy path",""
"passed","Sun Mar 10 13:47:14 EDT 2024","Sun Mar 10 13:47:15 EDT 2024","883","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Sun Mar 10 17:18:51 EDT 2024","Sun Mar 10 17:18:51 EDT 2024","514","","User Account Management Services (API)","","Happy path call with new changes in the request payload","","Happy path call with new changes in the request payload",""
"passed","Thu Mar 07 16:11:15 EST 2024","Thu Mar 07 16:11:16 EST 2024","909","","User Sign-in Service (API)","","User sign-in attempts with various credentials","","User sign-in attempts with various credentials",""
"passed","Tue Mar 12 14:15:14 EDT 2024","Tue Mar 12 14:15:14 EDT 2024","531","","User Account Management Services (API)","","Sending a PATCH request new profile_id","","Sending a PATCH request new profile_id",""
"passed","Tue Mar 12 14:15:12 EDT 2024","Tue Mar 12 14:15:13 EDT 2024","903","","User Sign-in Service (API)","","User sign-in negative scenario","","User sign-in negative scenario",""
"passed","Fri Mar 08 16:17:07 EST 2024","Fri Mar 08 16:17:07 EST 2024","201","","User Account Management Services (API)","","Negative case, invalid user_id in the endpoint","","Negative case, invalid user_id in the endpoint",""
